timestamp,open,high,low,close,volume
2016-12-12,785.0400,791.2500,784.3554,789.2700,2104117
2016-12-09,780.0000,789.4300,779.0210,789.2900,1821914
2016-12-08,772.4800,778.1800,767.2300,776.4200,1488059
2016-12-07,761.0000,771.3600,755.8000,771.1900,1760966
2016-12-06,764.7300,768.8300,757.3400,759.1100,1690689
2016-12-05,757.7100,763.9000,752.9000,762.5200,1394223
2016-12-02,744.5900,754.0000,743.1000,750.5000,1452484
2016-12-01,757.4400,759.8500,737.0245,747.9200,3017947
2016-11-30,770.0700,772.9900,754.8300,758.0400,2392890
2016-11-29,771.5300,778.5000,768.2400,770.8400,1616618
2016-11-28,760.0000,779.5300,759.8000,768.2400,2188151
2016-11-25,764.2600,765.0000,760.5200,761.6800,587421
2016-11-23,767.7300,768.2825,755.2500,760.9900,1478417
2016-11-22,772.6300,776.9600,767.0000,768.2700,1593108
2016-11-21,762.6100,769.7000,760.6000,769.2000,1330639
2016-11-18,771.3700,775.0000,760.0000,760.5400,1547145
2016-11-17,766.9200,772.7000,764.2300,771.2300,1304048
2016-11-16,755.2000,766.3600,750.5100,764.4800,1472594
2016-11-15,746.9700,764.4162,746.9700,758.4900,2384001
2016-11-14,755.6000,757.8500,727.5400,736.0800,3654385
2016-11-11,756.5400,760.7800,750.3800,754.0200,2431815
2016-11-10,791.1700,791.1700,752.1800,762.5600,4745183
2016-11-09,779.9400,791.2265,771.6700,785.3100,2607121
2016-11-08,783.4000,795.6330,780.1900,790.5100,1366873
2016-11-07,774.5000,785.1900,772.5500,782.5200,1585070
2016-11-04,750.6600,770.3600,750.5611,762.0200,2134812
2016-11-03,767.2500,769.9500,759.0300,762.1300,1943175
2016-11-02,778.2000,781.6500,763.4496,768.7000,1918414
2016-11-01,782.8900,789.4900,775.5400,783.6100,2406356
2016-10-31,795.4700,796.8600,784.0000,784.5400,2427284
