timestamp,open,high,low,close,volume
2016-10-28,808.3500,815.4900,793.5900,795.3700,4269902
2016-10-27,801.0000,803.4900,791.5000,795.3500,2749221
2016-10-26,806.3400,806.9800,796.3200,799.0700,1647733
2016-10-25,816.6800,816.6800,805.1400,807.6700,1576404
2016-10-24,804.9000,815.1800,804.8200,813.1100,1697514
2016-10-21,795.0000,799.5000,794.0000,799.3700,1266181
2016-10-20,803.3000,803.9700,796.0300,796.9700,1757528
2016-10-19,798.8600,804.6300,797.6350,801.5600,1766798
2016-10-18,787.8500,801.6100,785.5650,795.2600,2056903
2016-10-17,779.8000,785.8500,777.5000,779.9600,1092973
2016-10-14,781.6500,783.9500,776.0000,778.5300,852487
2016-10-13,781.2200,781.2200,773.0000,778.1900,1365277
2016-10-12,783.7600,788.1300,782.0600,786.1400,937435
2016-10-11,786.6600,792.2800,780.5800,783.0700,1372461
2016-10-10,777.7100,789.3800,775.8700,785.9400,1174923
2016-10-07,779.6600,779.6600,770.7500,775.0800,933158
2016-10-06,779.0000,780.4800,775.5400,776.8600,1070692
2016-10-05,779.3100,782.0700,775.6500,776.4700,1461151
2016-10-04,776.0300,778.7100,772.8900,776.4300,1201350
2016-10-03,774.2500,776.0650,769.5000,772.5600,1278821
2016-09-30,776.3300,780.9400,774.0900,777.2900,1585333
2016-09-29,781.4400,785.8000,774.2320,775.0100,1314746
2016-09-28,777.8500,781.8100,774.9700,781.5600,1109834
2016-09-27,775.5000,785.9899,774.3080,783.0100,1153247
2016-09-26,782.7400,782.7400,773.0700,774.2100,1533206
2016-09-23,786.5900,788.9300,784.1500,786.9000,1411937
2016-09-22,780.0000,789.8500,778.4400,787.2100,1486223
2016-09-21,772.6600,777.1600,768.3010,776.2200,1167810
2016-09-20,769.0000,773.3300,768.5300,771.4100,978631
2016-09-19,772.4200,774.0000,764.4406,765.7000,1172824
2016-09-16,769.7500,769.7500,764.6600,768.8800,2049338
2016-09-15,762.8900,773.8000,759.9600,771.7600,1346751
2016-09-14,759.6100,767.6800,759.1100,762.4900,1094490
2016-09-13,764.4800,766.2195,755.8000,759.6900,1395046
2016-09-12,755.1300,770.2900,754.0001,769.0200,1310986
2016-09-09,770.1000,773.2450,759.6600,759.6600,1885496
2016-09-08,778.5900,780.3500,773.5800,775.3200,1270264
2016-09-07,780.0000,782.7300,776.2000,780.3500,894021
2016-09-06,773.4500,782.0000,771.0000,780.0800,1442822
2016-09-02,773.0100,773.9199,768.4100,771.4600,1072658
2016-09-01,769.2500,771.0200,764.3000,768.7800,925131
2016-08-31,767.0100,769.0900,765.3800,767.0500,1248556
2016-08-30,769.3300,774.4660,766.8400,769.0900,1130029
2016-08-29,768.7400,774.9900,766.6150,772.1500,847565
2016-08-26,769.0000,776.0799,765.8500,769.5400,1166681
2016-08-25,767.0000,771.8900,763.1846,769.4100,926883
2016-08-24,770.5800,774.5000,767.0700,769.6400,1071999
2016-08-23,775.4800,776.4400,771.7850,772.0800,928232
2016-08-22,773.2700,774.5400,770.0502,772.1500,951362
2016-08-19,775.0000,777.1000,773.1300,775.4200,861546
2016-08-18,780.0100,782.8600,777.0000,777.5000,719429
2016-08-17,777.3200,780.8100,773.5300,779.9100,924226
2016-08-16,780.3000,780.9800,773.4440,777.1400,1028047
2016-08-15,783.7500,787.4900,780.1100,782.4400,938186
2016-08-12,781.5000,783.3950,780.4000,783.2200,740498
2016-08-11,785.0000,789.7500,782.9700,784.8500,975113
2016-08-10,783.7500,786.8123,782.7780,784.6800,786363
2016-08-09,781.1000,788.9400,780.5700,784.2600,1318894
2016-08-08,782.0000,782.6300,778.0910,781.7600,1107857
2016-08-05,773.7800,783.0400,772.3400,782.2200,1801205
2016-08-04,772.2200,774.0700,768.7950,771.6100,1140254
2016-08-03,767.1800,773.2100,766.8200,773.1800,1287421
2016-08-02,768.6900,775.8400,767.8500,771.0700,1784525
2016-08-01,761.0900,780.4300,761.0900,772.8800,2700470
2016-07-29,772.7100,778.5500,766.7700,768.7900,3841482
2016-07-28,747.0400,748.6500,739.3000,745.9100,3530169
