timestamp,open,high,low,close,volume
2017-01-26,837.8100,838.0000,827.0100,832.1500,2973891
2017-01-25,829.6200,835.7700,825.0600,835.6700,1627304
2017-01-24,822.3000,825.9000,817.8210,823.8700,1474010
2017-01-23,807.2500,820.8700,803.7400,819.3100,1963628
2017-01-20,806.9100,806.9100,801.6900,805.0200,1670045
2017-01-19,805.1200,809.4800,801.8000,802.1750,919325
2017-01-18,805.8100,806.2050,800.9900,806.0700,1294407
2017-01-17,807.0800,807.1400,800.3700,804.6100,1362115
2017-01-13,807.4800,811.2244,806.6900,807.8800,1099215
2017-01-12,807.1400,807.3900,799.1700,806.3600,1353057
2017-01-11,805.0000,808.1500,801.3700,807.9100,1065936
2017-01-10,807.8600,809.1299,803.5100,804.7900,1176780
2017-01-09,806.4000,809.9664,802.8300,806.6500,1274645
2017-01-06,795.2600,807.9000,792.2041,806.1500,1640170
2017-01-05,786.0800,794.4800,785.0200,794.0200,1335167
2017-01-04,788.3600,791.3400,783.1600,786.9000,1072958
2017-01-03,778.8100,789.6300,775.8000,786.1400,1657268
2016-12-30,782.7500,782.7800,770.4100,771.8200,1769950
2016-12-29,783.3300,785.9300,778.9200,782.7900,744272
2016-12-28,793.7000,794.2300,783.2000,785.0500,1153824
2016-12-27,790.6800,797.8600,787.6570,791.5500,789321
2016-12-23,790.9000,792.7400,787.2800,789.9100,623944
2016-12-22,792.3600,793.3200,788.5800,791.2600,972169
2016-12-21,795.8400,796.6757,787.1000,794.5600,1211346
2016-12-20,796.7600,798.6500,793.2700,796.4200,951014
2016-12-19,790.2200,797.6600,786.2700,794.2000,1232087
2016-12-16,800.4000,800.8558,790.2900,790.8000,2443796
2016-12-15,797.3400,803.0000,792.9200,797.8500,1626499
2016-12-14,797.4000,804.0000,794.0100,797.0700,1704150
2016-12-13,793.9000,804.3799,793.3400,796.1000,2145209
