timestamp,open,high,low,close,volume
2017-06-06,983.1600,988.2500,975.1400,976.5700,1796904
2017-06-05,976.5500,986.9100,975.1000,983.6800,1221971
2017-06-02,969.4600,975.8800,966.0000,975.6000,1717212
2017-06-01,968.9500,971.5000,960.0100,966.9500,1403200
2017-05-31,975.0200,979.2700,960.1800,964.8600,2426589
2017-05-30,970.3100,976.2000,969.4900,975.8800,1455686
2017-05-26,969.7000,974.9800,965.0300,971.4700,1246186
2017-05-25,957.3300,972.6290,955.4700,969.5400,1645873
2017-05-24,952.9800,955.0900,949.5000,954.9600,990248
2017-05-23,947.9200,951.4670,942.5750,948.8200,1259285
2017-05-22,935.0000,941.8830,935.0000,941.8600,1092176
2017-05-19,931.4700,937.7550,931.0000,934.0100,1382221
2017-05-18,921.0000,933.1700,918.7500,930.2400,1586465
2017-05-17,935.6700,939.3330,918.1400,919.6200,2323389
2017-05-16,940.0000,943.1100,937.5800,943.0000,956692
2017-05-15,932.9500,938.2500,929.3400,937.0800,1094283
2017-05-12,931.5300,933.4400,927.8500,932.2200,1038409
2017-05-11,925.3200,932.5300,923.0300,930.6000,830838
2017-05-10,931.9800,932.0000,925.1600,928.7800,1170055
2017-05-09,936.9500,937.5000,929.5300,932.1700,1575628
2017-05-08,926.1200,936.9250,925.2600,934.3000,1319052
2017-05-05,933.5400,934.9000,925.2000,927.1300,1904731
2017-05-04,926.0700,935.9300,924.5900,931.6600,1405844
2017-05-03,914.8600,928.1000,912.5430,927.0400,1477329
2017-05-02,909.6200,920.7700,909.4530,916.4400,1520766
2017-05-01,901.9400,915.6800,901.4500,912.5700,2100457
2017-04-28,910.6600,916.8500,905.7700,905.9600,3160585
2017-04-27,873.6000,875.4000,870.3800,874.2500,1734197
2017-04-26,874.2300,876.0500,867.7480,871.7300,1188464
2017-04-25,865.0000,875.0000,862.8100,872.3000,1654161
